date,symbol,series,prev close,open,high,low,last,close,vwap,volume,text_doc_index,text_sent_index,text_neg,text_neu,text_pos,text_compound,twitter_text_doc_index,twitter_text_sent_index,twitter_text_neg,twitter_text_neu,twitter_text_pos,twitter_text_compound,close_14_ema_x,close_14_ema_y,Text_Dominant_Topic,Text_Perc_Contribution,TWT_Dominant_Topic,TWT_Perc_Contribution
17/01/19,SBIN,EQ,303.15,303.9,304.35,295.6,297.4,297.4,298.93,15974634,171,0,0,1,0,0,463,1,0.1,1.653,0.247,1.493,299.3218062,299.3218062,4,0.4624,2,0.9167
18/01/19,SBIN,EQ,297.4,298.75,299.85,294.25,295.3,294.95,297.21,9082501,0,0,0,0,0,0,464,6,0.065,3.573,0.362,0.1933,298.7388987,298.7388987,0,0,2,0.6965
21/01/19,SBIN,EQ,294.95,295.9,296.75,291.45,292.3,292.45,294.06,10188647,172,0,0,0.788,0.212,0.6249,465,0,0,0.942,0.058,0.7269,297.9003789,297.9003789,4,0.5768,2,0.8432
22/01/19,SBIN,EQ,292.45,293,293,288.2,290.85,290.25,290.18,11297989,0,0,0,0,0,0,466,21,0.036,5.972,0.992,2.0642,296.8803284,296.8803284,0,0,2,0.4721
23/01/19,SBIN,EQ,290.25,290.45,292.95,285.5,286.2,286.65,289.24,10304608,173,0,0,1,0,0,467,0,0.023,0.923,0.053,0.4019,295.5162846,295.5162846,4,0.5743,2,0.7768
24/01/19,SBIN,EQ,286.65,286.65,289.9,285.5,288.15,288.05,287.7,11532528,0,0,0,0,0,0,468,3,0.897,1.998,0.105,0.0306,294.52078,294.52078,0,0,2,0.8235
25/01/19,SBIN,EQ,288.05,289.6,291,283.2,285.65,285.4,288.24,11121223,174,0,0,1,0,0,469,0,0,0.952,0.048,0.7096,293.304676,293.304676,4,0.4212,2,0.8994
28/01/19,SBIN,EQ,285.4,285.65,286.6,277.3,282.5,281.6,281.3,18905470,0,0,0,0,0,0,470,6,0.382,3.46,0.158,0.2542,291.7440525,291.7440525,0,0,2,0.7742
29/01/19,SBIN,EQ,281.6,281,286,276.55,281.45,280.6,282.25,17435611,0,0,0,0,0,0,471,6,0,3.842,0.158,1.267,290.2581788,290.2581788,0,0,2,0.8635
30/01/19,SBIN,EQ,280.6,281.2,289.4,280.25,287.35,287.45,285.36,18908654,0,0,0,0,0,0,472,10,0.265,4.248,0.487,1.3032,289.883755,289.883755,0,0,2,0.8768
31/01/19,SBIN,EQ,287.45,290,294.8,288,294.8,293.65,291.77,25546487,0,0,0,0,0,0,473,6,0.009,3.69,0.302,2.1807,290.385921,290.385921,0,0,2,0.6759
01/02/19,SBIN,EQ,293.65,296.9,302.7,282,282.6,284.4,291.96,60015958,175,3,0.509,2.331,0.159,-0.3236,474,15,0.033,5.817,0.15,1.3013,289.5877982,289.5877982,13,0.7446,2,0.8462
04/02/19,SBIN,EQ,284.4,282.4,285.2,277.85,284.1,283.95,282,20642919,0,0,0,0,0,0,475,36,0.497,7.285,1.217,2.0713,288.8360918,288.8360918,0,0,2,0.6893
05/02/19,SBIN,EQ,283.95,284.2,287,283,284.5,284.65,285.21,13291133,0,0,0,0,0,0,476,3,0,2.805,0.195,1.3172,288.2779462,288.2779462,0,0,2,0.5728
06/02/19,SBIN,EQ,284.65,285.85,289.75,283.5,289.45,289.05,286.98,12149759,0,0,0,0,0,0,477,1,0,1.873,0.127,0.6597,288.3808867,288.3808867,0,0,2,0.7895
07/02/19,SBIN,EQ,289.05,289.4,294,286.6,287,287.4,290.17,19733315,0,0,0,0,0,0,478,1,0,1.899,0.101,0.9524,288.2501018,288.2501018,0,0,2,0.9357
08/02/19,SBIN,EQ,287.4,285.6,288,282.2,286.55,286,285.03,19781908,0,0,0,0,0,0,479,28,0.06,7.334,0.606,2.0749,287.9500882,287.9500882,0,0,2,0.8076
11/02/19,SBIN,EQ,286,285.95,285.95,280,280.45,280.5,282.05,15420017,176,0,0,0.833,0.167,0.4588,480,6,0.142,3.547,0.31,0.9299,286.9567431,286.9567431,4,0.4694,0,0.4619
12/02/19,SBIN,EQ,280.5,280.65,282.2,274.65,275.1,275.4,279.25,15326106,0,0,0,0,0,0,481,28,0.763,5.727,1.509,2.1075,285.4158441,285.4158441,0,0,2,0.4866
13/02/19,SBIN,EQ,275.4,276.5,276.7,266.7,267,268.2,271.46,18662893,0,0,0,0,0,0,482,0,0.012,0.932,0.056,0.5187,283.1203982,283.1203982,0,0,4,0.6339
14/02/19,SBIN,EQ,268.2,268,268.35,263.65,267.5,267.1,266.33,26372671,177,1,0.136,1.864,0,-0.5267,483,3,0,2.898,0.102,0.9136,280.9843451,280.9843451,4,0.9116,2,0.5716
15/02/19,SBIN,EQ,267.1,268.85,268.85,261.3,262.8,262.95,264.01,23366091,0,0,0,0,0,0,484,3,0.022,2.798,0.18,1.0505,278.5797657,278.5797657,0,0,2,0.8856
18/02/19,SBIN,EQ,262.95,264.4,265.5,258.8,259.5,259.95,262.46,14781744,0,0,0,0,0,0,485,10,0.149,4.533,0.318,0.6918,276.095797,276.095797,0,0,2,0.5199
